"PolicyNo","Policy_Company","Policy_Installment_Term","Policy_Billing_Code","Policy_Method_Of_Payment","Policy_Reinstatement_Fee_Indicator","Policy_Zip_Code_Garaging_Location","Vehicle_Territory","Vehicle_Make_Year","Vehicle_Make_Description","Vehicle_Performance","Vehicle_New_Cost_Amount","Vehicle_Symbol","Vehicle_Number_Of_Drivers_Assigned","Vehicle_Usage","Vehicle_Miles_To_Work","Vehicle_Days_Per_Week_Driven","Vehicle_Annual_Miles","Vehicle_Anti_Theft_Device","Vehicle_Passive_Restraint","Vehicle_Age_In_Years","Vehicle_Med_Pay_Limit","Vehicle_Bodily_Injury_Limit","Vehicle_Physical_Damage_Limit","Vehicle_Comprehensive_Coverage_Indicator","Vehicle_Comprehensive_Coverage_Limit","Vehicle_Collision_Coverage_Indicator","Vehicle_Collision_Coverage_Deductible","Driver_Total","Driver_Total_Male","Driver_Total_Female","Driver_Total_Single","Driver_Total_Married","Driver_Total_Related_To_Insured_Self","Driver_Total_Related_To_Insured_Spouse","Driver_Total_Related_To_Insured_Child","Driver_Total_Licensed_In_State","Driver_Minimum_Age","Driver_Maximum_Age","Driver_Total_Teenager_Age_15_19","Driver_Total_College_Ages_20_23","Driver_Total_Young_Adult_Ages_24_29","Driver_Total_Low_Middle_Adult_Ages_30_39","Driver_Total_Middle_Adult_Ages_40_49","Driver_Total_Adult_Ages_50_64","Driver_Total_Senior_Ages_65_69","Driver_Total_Upper_Senior_Ages_70_plus","Vehicle_Youthful_Driver_Indicator","Vehicle_Youthful_Driver_Training_Code","Vehicle_Youthful_Good_Student_Code","Vehicle_Driver_Points","Vehicle_Safe_Driver_Discount_Indicator","EEA_Liability_Coverage_Only_Indicator","EEA_Multi_Auto_Policies_Indicator","EEA_Policy_Zip_Code_3","EEA_Policy_Tenure","EEA_Agency_Type","EEA_Packaged_Policy_Indicator","EEA_Full_Coverage_Indicator","EEA_Prior_Bodily_Injury_Limit","EEA_PolicyYear","SYS_Renewed","SYS_New_Business","Annual_Premium","Claim_Count","Loss_Amount","Frequency","Severity","Loss_Ratio"
"296318207","Standard ","12","Direct Billed to Insured","Pre-paid","N","42781","31","2005","CHEV SILVERADO   ","Intermediate","-1","11","1","Farm    ","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","2","5000","100-300","100000","N","-1","Y","250","1","1","0","0","1","1","0","0","1","73","73","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","427","7.0","Preferred","Y","Y","100-200","2006","N","N","449.57","1","5044.35","1.7217630853994488","5044.35","11.22"
"296419013","Standard ","6","Direct Billed to Insured","Pre-paid","N","42357","37","1999","DODG STRATUS     ","Standard","-1","13","1","Work    ","4","5","Unknown","Passive Disabling-Vehicle Recovery","Y","8","-1","50-100 ","25000","N","-1","N","-1","1","0","1","0","0","1","0","0","1","49","49","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","423","6.5","Non-standard","N","N","40-100 ","2006","Y","N","136.74","0","0.0","0.0","0.0","0.0"
"296445207","Standard ","12","Direct Billed to Insured","Pre-paid","N","42466","35","2006","CHRY 300C        ","Standard","-1","20","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","1","5000","100-300","50000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","40","40","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","N","N","Y","424","7.0","Preferred","Y","Y","100-200","2006","Y","N","1369.52","0","0.0","0.0","0.0","0.0"
"296567014","Standard ","6","Direct Billed to Insured","Installment","N","43362","31","2006","DODG DAKOTA SLT  ","Standard","-1","16","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","1","1000","100-300","50000","N","-1","Y","250","1","1","0","0","1","1","0","0","1","54","54","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","433","7.0","Standard","Y","Y","100-200","2006","Y","N","595.72","0","0.0","0.0","0.0","0.0"
"296585614","Standard ","6","Direct Billed to Insured","Pre-paid","N","44139","31","1998","CHEV PICKUP1500  ","Standard","-1","14","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","250-500","100000","N","-1","N","-1","1","1","0","1","0","0","0","1","1","20","20","0","1","0","0","0","0","0","0","Y","Without Driver Training        ","Not Eligible for Good Student Credit","0","Y","Y","Y","441","7.0","Preferred","N","N","100-400","2006","Y","N","435.66","0","0.0","0.0","0.0","0.0"
"296632114","Standard ","6","Direct Billed to Insured","Installment","N","43366","31","1998","TYTA CAMRY       ","Standard","-1","12","1","Farm    ","-1","5","Unknown","Not Applicable","N","9","5000","50-100 ","50000","N","-1","Y","250","1","0","1","0","0","1","0","0","1","75","75","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","433","7.0","Preferred","Y","Y","40-100 ","2006","Y","N","321.18","0","0.0","0.0","0.0","0.0"
"296651414","Standard ","6","Direct Billed to Insured","Installment","N","43947","31","2000","MITS ECLIPSE GT  ","Standard","-1","18","1","Work    ","6","5","Unknown","Not Applicable","Y","7","5000","100-300","50000","N","-1","Y","500","1","0","1","0","0","1","0","0","1","45","45","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","439","7.0","Hybrid","Y","Y","100-200","2006","Y","N","557.56","1","38.15","2.0","38.15","0.07"
"296678014","Standard ","6","Direct Billed to Insured","Pre-paid","N","44085","31","1999","BUIK PARK AVE    ","Standard","-1","11","1","Farm    ","3","5","Unknown","Passive Disabling-Vehicle Recovery","Y","8","1000","100-300","50000","N","-1","Y","250","1","0","1","0","1","1","0","0","1","78","78","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","440","7.0","Non-standard","Y","Y","100-200","2006","Y","N","297.86","0","0.0","0.0","0.0","0.0"
"296742114","Standard ","6","Direct Billed to Insured","Pre-paid","N","43562","31","1992","SATN SC          ","Standard","-1","11","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","1000","100-300","50000","N","-1","N","-1","1","1","0","1","0","0","0","1","1","22","22","0","1","0","0","0","0","0","0","Y","With or Without Driver Training","Not Eligible for Good Student Credit","0","Y","Y","Y","435","7.0","Preferred","N","N","100-200","2006","N","N","242.74","0","0.0","0.0","0.0","0.0"
"296753614","Standard ","6","Direct Billed to Insured","Pre-paid","N","44151","31","1989","PONT SUNBIRD LE  ","Standard","-1","11","1","Work    ","2","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","N","-1","1","0","1","1","0","1","0","0","1","38","38","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","N","441","7.0","Standard","N","N","20-50","2006","N","N","133.56","0","0.0","0.0","0.0","0.0"
"296753707","Standard ","12","Direct Billed to Insured","Pre-paid","N","42520","35","1990","FORD RANGER      ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","1000","50-100 ","50000","N","-1","N","-1","2","1","1","0","2","1","1","0","2","54","58","0","0","0","0","0","2","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","425","7.0","Non-standard","N","N","40-100 ","2006","Y","N","275.6","0","0.0","0.0","0.0","0.0"
"296801013","Standard ","6","Direct Billed to Insured","Pre-paid","N","42498","35","1999","FORD EXPEDITION  ","Standard","-1","13","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","8","-1","","-1","Y","300000","Y","500","1","0","1","0","1","0","1","0","1","55","55","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","6.5","Hybrid","Y","Y","","2006","Y","N","379.48","0","0.0","0.0","0.0","0.0"
"296843614","Standard ","6","Direct Billed to Insured","Pre-paid","N","43898","31","1994","PONT SUNBIRD LE  ","Standard","-1","7","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","5000","25-50  ","25000","N","-1","N","-1","1","0","1","0","1","0","1","0","1","53","53","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","438","7.0","Standard","Y","N","20-50","2006","Y","N","134.62","0","0.0","0.0","0.0","0.0"
"296844714","Standard ","6","Direct Billed to Insured","Installment","N","43971","31","2006","HOND ODYSSEY EX  ","Standard","-1","12","99","Pleasure","-1","5","Unknown","Not Applicable","Y","1","5000","100-300","50000","N","-1","Y","250","2","1","1","0","2","1","1","0","2","41","48","0","0","0","0","2","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","439","7.0","Hybrid","Y","Y","100-200","2006","Y","N","533.18","0","0.0","0.0","0.0","0.0"
"296850313","Standard ","6","Direct Billed to Insured","Pre-paid","N","43894","31","1994","BUIK LESABRE CU  ","Standard","19","7","1","Farm    ","-1","5","Unknown","Not Applicable","N","9","5000","25-50  ","25000","N","-1","N","-1","1","1","0","0","0","1","0","0","1","72","72","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","438","6.5","Standard","N","N","20-50","2006","Y","N","113.42","0","0.0","0.0","0.0","0.0"
"296951414","Standard ","6","Direct Billed to Insured","Installment","N","42479","32","1999","TYTA TACOMA      ","Standard","-1","18","99","Work    ","10","5","Unknown","Passive Disabling-Vehicle Recovery","Y","8","5000","100-300","50000","N","-1","Y","500","1","1","0","0","0","1","0","0","1","44","44","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","7.0","Non-standard","Y","Y","100-200","2006","Y","N","570.28","0","0.0","0.0","0.0","0.0"
"296952213","Standard ","6","Direct Billed to Insured","Pre-paid","N","42980","30","1996","OLDS CIERA SL    ","Standard","-1","5","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","25-50  ","25000","N","-1","Y","250","1","0","1","0","0","1","0","0","1","80","80","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","429","6.5","Non-standard","N","Y","20-50","2006","Y","N","271.36","0","0.0","0.0","0.0","0.0"
"296961214","Standard ","6","Direct Billed to Insured","Installment","N","42635","30","2001","LEXS ES300-ES    ","Standard","-1","15","1","Pleasure","-1","5","Unknown","Active Disabling","Y","6","5000","100-300","50000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","42","42","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","426","6.5","Hybrid","Y","Y","100-200","2006","Y","N","400.68","0","0.0","0.0","0.0","0.0"
"296998715","Preferred","6","Direct Billed to Insured","Installment","N","42902","35","1982","BUIK REGAL LTD   ","Standard","15000","6","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","N","-1","1","1","0","0","0","1","0","0","1","87","87","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","429","6.7","Hybrid","N","N","20-50","2006","N","N","11.43","0","0.0","0.0","0.0","0.0"
"297016513","Standard ","6","Direct Billed to Insured","Pre-paid","N","44148","31","1999","FORD RANGER      ","Standard","-1","12","1","Pleasure","-1","5","Unknown","Not Applicable","Y","8","-1","100-300","50000","N","-1","Y","500","1","1","0","0","0","1","0","0","1","70","70","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","441","6.5","Preferred","N","Y","100-200","2006","Y","N","328.6","0","0.0","0.0","0.0","0.0"
"297051516","Standard ","6","Direct Billed to Insured","Installment","Y","44057","31","2006","GMC  CANYON SL-  ","Standard","-1","15","1","Work    ","12","5","Unknown","Passive Disabling-Vehicle Recovery","Y","1","1000","250-500","250000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","45","45","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","440","6.7","Preferred","Y","Y","100-400","2006","Y","N","577.7","0","0.0","0.0","0.0","0.0"
"297125013","Standard ","6","Direct Billed to Insured","Pre-paid","N","42922","35","1969","FORD E200 VAN    ","Standard","-1","8","1","Farm    ","-1","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","66","66","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","429","6.5","Hybrid","N","N","20-50","2006","Y","N","104.94","0","0.0","0.0","0.0","0.0"
"297131014","Standard ","6","Direct Billed to Insured","Installment","Y","43870","31","2002","FORD F150 CREW   ","Standard","-1","13","99","Work    ","5","5","Unknown","Passive Disabling-Vehicle Recovery","Y","5","1000","100-300","50000","N","-1","Y","500","1","1","0","0","1","0","1","0","1","43","43","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","438","6.7","Standard","Y","Y","100-200","2006","Y","N","310.58","0","0.0","0.0","0.0","0.0"
"297161118","Standard ","6","Direct Billed to Insured","Installment","Y","43064","27","2000","FORD EXPLOR XLT  ","Standard","-1","11","1","Work    ","5","5","Unknown","Passive Disabling-Vehicle Recovery","Y","8","1000","25-50  ","25000","N","-1","Y","250","1","0","1","0","1","1","0","0","1","50","50","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","6.8","Hybrid","Y","Y","20-50","2006","Y","N","197.16","0","0.0","0.0","0.0","0.0"
"297197116","Standard ","6","Direct Billed to Insured","Installment","N","43350","26","2000","FORD RNGRXL-XLT  ","Standard","-1","8","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","7","1000","100-300","50000","N","-1","N","-1","1","1","0","1","0","0","0","1","1","17","17","1","0","0","0","0","0","0","0","Y","Without Driver Training        ","Not Eligible for Good Student Credit","0","Y","N","Y","433","6.6","Hybrid","Y","N","100-200","2006","Y","N","417.64","0","0.0","0.0","0.0","0.0"
"297220014","Standard ","6","Direct Billed to Insured","Installment","N","42461","35","2001","HOND ACCORD EX   ","Standard","-1","13","99","Pleasure","-1","5","Unknown","Active Disabling","Y","6","50000","100-300","50000","N","-1","Y","500","1","0","1","0","1","1","0","0","1","24","24","0","0","1","0","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","6.5","Preferred","Y","Y","100-200","2006","Y","N","412.34","0","0.0","0.0","0.0","0.0"
"297310713","Standard ","6","Direct Billed to Insured","Installment","N","44095","31","1999","GMC  YUKON       ","Standard","-1","11","99","Farm    ","-1","5","Unknown","Alarm Only","Y","8","5000","50-100 ","50000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","34","34","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","440","6.5","Preferred","Y","Y","40-100 ","2006","Y","N","278.78","0","0.0","0.0","0.0","0.0"
"297380114","Standard ","6","Direct Billed to Insured","Pre-paid","N","43081","27","1999","FORD F150        ","Standard","-1","10","1","Farm    ","-1","5","Unknown","Not Applicable","Y","9","5000","100-300","50000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","64","64","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","7.0","Standard","Y","Y","100-200","2006","Y","N","288.32","0","0.0","0.0","0.0","0.0"
"297504415","Standard ","6","Direct Billed to Insured","Installment","Y","42524","35","1997","GMC  SIERRA1500  ","Standard","-1","7","99","Pleasure","-1","5","Unknown","Not Applicable","Y","9","1000","25-50  ","25000","N","-1","Y","500","1","1","0","1","0","1","0","0","1","38","38","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","425","6.6","Preferred","N","Y","20-50","2006","Y","N","285.14","0","0.0","0.0","0.0","0.0"
"297523113","Standard ","6","Direct Billed to Insured","Installment","N","42520","35","2001","TYTA TACOMA-SR5  ","Standard","-1","16","99","Work    ","10","5","Unknown","Not Applicable","Y","6","1000","25-50  ","25000","N","-1","Y","500","1","0","1","1","0","1","0","0","1","25","25","0","0","1","0","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","425","6.5","Non-standard","N","Y","20-50","2006","Y","N","492.9","1","2503.25","2.0","2503.25","5.08"
"297572714","Standard ","6","Direct Billed to Insured","Pre-paid","Y","43050","35","1997","FORD EXPLORER    ","Standard","-1","10","99","Pleasure","-1","5","Unknown","Alarm Only","Y","9","5000","25-50  ","25000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","42","42","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","430","6.7","Hybrid","N","N","20-50","2006","Y","N","132.5","0","0.0","0.0","0.0","0.0"
"297590914","Standard ","6","Direct Billed to Insured","Installment","N","43050","35","2006","FORD RANGER REG  ","Standard","-1","11","99","Pleasure","-1","5","Unknown","Not Applicable","Y","1","1000","25-50  ","25000","N","-1","Y","500","1","1","0","0","0","1","0","0","1","48","48","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","7.0","Hybrid","Y","Y","20-50","2006","Y","N","421.88","0","0.0","0.0","0.0","0.0"
"297707414","Preferred","6","Direct Billed to Insured","Installment","N","42631","31","1999","CHEV BLAZER-TRL  ","Standard","-1","10","99","Work    ","18","5","Unknown","Not Applicable","N","8","1000","25-50  ","25000","N","-1","Y","500","2","1","1","0","2","1","1","0","2","26","46","0","0","1","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","426","6.5","Hybrid","N","Y","20-50","2006","Y","N","597.84","0","0.0","0.0","0.0","0.0"
"297767713","Standard ","6","Direct Billed to Insured","Installment","N","42465","30","1996","CHEV LUMINA      ","Standard","-1","5","1","Pleasure","-1","5","Unknown","Not Applicable","Y","9","-1","100-300","50000","N","-1","Y","250","1","0","1","0","1","1","0","0","1","52","52","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","424","6.5","Hybrid","N","Y","100-200","2006","Y","N","269.24","0","0.0","0.0","0.0","0.0"
"297775413","Standard ","6","Direct Billed to Insured","Installment","N","43162","30","1996","OLDS 88-LS       ","Standard","-1","8","1","Farm    ","-1","5","Unknown","Not Applicable","N","9","10000","50-100 ","35000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","69","69","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","431","6.5","Non-standard","Y","Y","40-100 ","2006","Y","N","254.4","0","0.0","0.0","0.0","0.0"
"297783716","Standard ","6","Direct Billed to Insured","Installment","Y","44113","31","1997","BUIK CENTURY CU  ","Standard","-1","6","1","Work    ","4","5","Unknown","Passive Disabling-Vehicle Recovery","Y","9","1000","25-50  ","25000","N","-1","Y","250","1","0","1","0","1","0","1","0","1","43","43","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","441","6.6","Hybrid","N","Y","20-50","2006","Y","N","332.84","1","2405.22","2.0","2405.22","7.23"
"297801714","Standard ","6","Direct Billed to Insured","Pre-paid","N","42851","35","1999","TYTA 4RUNNERLTD  ","Standard","-1","20","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","9","1000","250-500","100000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","39","39","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","7.0","Preferred","Y","Y","100-400","2006","Y","N","506.68","0","0.0","0.0","0.0","0.0"
"297805214","Standard ","6","Direct Billed to Insured","Installment","N","44254","31","2002","FORD ESCORT      ","Standard","-1","15","1","Pleasure","-1","5","Unknown","Not Applicable","Y","5","1000","25-50  ","25000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","46","46","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","442","7.0","Hybrid","N","Y","20-50","2006","Y","N","392.2","0","0.0","0.0","0.0","0.0"
"297849414","Standard ","6","Direct Billed to Insured","Pre-paid","N","42879","35","2000","CHEV SILVER1500  ","Standard","-1","14","1","Farm    ","-1","5","Unknown","Not Applicable","Y","8","1000","50-100 ","50000","N","-1","Y","500","1","1","0","0","1","0","1","0","1","62","62","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","7.0","Non-standard","Y","Y","40-100 ","2006","Y","N","328.6","0","0.0","0.0","0.0","0.0"
"297853214","Standard ","6","Direct Billed to Insured","Installment","N","42851","35","2000","CHEV TAHOE       ","Standard","-1","11","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","7","5000","25-50  ","25000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","35","35","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","6.3","Preferred","Y","Y","20-50","2006","Y","N","329.66","0","0.0","0.0","0.0","0.0"
"297931013","Standard ","6","Direct Billed to Insured","Pre-paid","N","42988","30","1966","FORD F100 PU     ","Standard","-1","7","1","Work    ","4","5","Unknown","Not Applicable","N","9","-1","25-50  ","25000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","68","68","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","429","6.5","Standard","N","N","20-50","2006","Y","N","115.54","0","0.0","0.0","0.0","0.0"
"297957913","Standard ","6","Direct Billed to Insured","Installment","N","42878","35","2003","FORD TAURUS SE   ","Standard","-1","10","2","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","4","1000","50-100 ","50000","N","-1","Y","500","2","1","1","1","0","1","0","0","2","21","71","0","1","0","0","0","0","0","1","Y","With or Without Driver Training","Not Eligible for Good Student Credit","0","Y","N","Y","428","6.5","Standard","Y","Y","40-100 ","2006","Y","N","501.38","0","0.0","0.0","0.0","0.0"
"297985814","Standard ","6","Direct Billed to Insured","Pre-paid","N","42465","35","1996","CADI FLEETWOOD   ","Standard","-1","18","1","Pleasure","-1","5","Unknown","Active Disabling","Y","9","-1","","-1","Y","100000","Y","200","1","1","0","0","1","1","0","0","1","80","80","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","1","N","N","Y","424","7.0","Preferred","Y","Y","","2006","Y","N","613.74","0","0.0","0.0","0.0","0.0"
"298005013","Standard ","6","Direct Billed to Insured","Installment","N","43380","31","1999","TYTA TMA PRERUN  ","Standard","-1","16","99","Work    ","13","5","Unknown","Not Applicable","Y","8","-1","25-50  ","50000","N","-1","Y","500","2","1","1","0","2","1","1","0","2","40","43","0","0","0","0","2","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","1","N","N","Y","433","6.5","Non-standard","Y","Y","20-50","2006","Y","N","489.72","0","0.0","0.0","0.0","0.0"
"298062413","Standard ","6","Direct Billed to Insured","Installment","N","42886","35","1970","FORD F 100 PU    ","Standard","-1","8","99","Work    ","10","5","Unknown","Not Applicable","N","9","-1","25-50  ","25000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","47","47","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","428","6.5","Standard","N","N","20-50","2006","Y","N","111.3","0","0.0","0.0","0.0","0.0"
"298068414","Standard ","6","Direct Billed to Insured","Pre-paid","N","42462","35","1991","HOND ACCORD EX   ","Standard","-1","10","2","Pleasure","-1","5","Unknown","Not Applicable","N","9","1000","100-300","50000","N","-1","N","-1","2","1","1","1","1","1","0","1","2","21","49","0","1","0","0","1","0","0","0","Y","With or Without Driver Training","Not Eligible for Good Student Credit","0","Y","N","Y","424","7.0","Non-standard","Y","N","100-200","2006","Y","N","212.0","0","0.0","0.0","0.0","0.0"
"298144914","Standard ","6","Direct Billed to Insured","Pre-paid","N","43858","31","1990","MERC GR MAR GS   ","Standard","-1","6","1","Farm    ","-1","5","Unknown","Not Applicable","N","9","5000","","-1","Y","75000","N","-1","1","1","0","0","0","0","0","1","1","62","62","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","N","438","7.0","Standard","N","N","","2006","Y","N","127.2","0","0.0","0.0","0.0","0.0"
"298176620","Standard ","6","Direct Billed to Insured","Pre-paid","N","42780","27","1998","GMC  SIERRA2500  ","Standard","-1","14","99","Work    ","11","5","Unknown","Not Applicable","Y","9","-1","25-50  ","25000","N","-1","Y","500","1","1","0","0","0","1","0","0","1","47","47","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","427","6.7","Standard","Y","Y","20-50","2006","Y","N","294.68","0","0.0","0.0","0.0","0.0"
"298226715","Standard ","6","Direct Billed to Insured","Installment","N","42470","35","1985","GMC  SIERRA 15   ","Standard","-1","7","99","Work    ","5","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","N","-1","1","1","0","0","0","1","0","0","1","47","47","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","424","7.0","Hybrid","N","N","20-50","2006","Y","N","145.22","0","0.0","0.0","0.0","0.0"
"298293615","Standard ","6","Direct Billed to Insured","Installment","Y","42812","31","2000","GMC  SIERRA1500  ","Standard","-1","10","99","Work    ","20","5","Unknown","Passive Disabling-Vehicle Recovery","Y","7","1000","25-50  ","25000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","36","36","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","428","6.4","Standard","Y","Y","20-50","2006","Y","N","385.84","0","0.0","0.0","0.0","0.0"
"298330113","Standard ","6","Direct Billed to Insured","Pre-paid","N","43001","35","1988","CHEV PICKUP1500  ","Standard","-1","8","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","1000","100-300","50000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","56","56","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","6.5","Hybrid","Y","N","100-200","2006","N","N","145.22","0","0.0","0.0","0.0","0.0"
"298332014","Standard ","6","Direct Billed to Insured","Installment","N","42911","35","2001","CHEV BLAZER      ","Standard","-1","10","99","Work    ","13","5","Unknown","Passive Disabling-Vehicle Recovery","Y","7","1000","25-50  ","25000","N","-1","Y","1000","2","1","1","0","2","1","1","0","2","27","33","0","0","1","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","429","7.0","Preferred","Y","Y","20-50","2006","Y","N","327.54","0","0.0","0.0","0.0","0.0"
"298431414","Standard ","6","Direct Billed to Insured","Installment","N","52186","31","1993","FORD F150        ","Standard","-1","2","99","Work    ","10","5","Unknown","Not Applicable","N","9","2000","25-50  ","25000","N","-1","Y","500","2","1","1","0","2","1","1","0","2","35","39","0","0","0","2","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","521","7.0","Non-standard","Y","Y","20-50","2006","Y","N","232.14","0","0.0","0.0","0.0","0.0"
